emotion,upper-bound_P,upper-bound_R,upper-bound_F1,lwf_P,lwf_R,lwf_F1,aesl_P,aesl_R,aesl_F1,agcn_P,agcn_R,agcn_F1,finetune_P,finetune_R,finetune_F1
admiration,0.63,0.77,0.69,0.36,0.89,0.51,0.35,0.87,0.5,0.36,0.89,0.51,0.0,0.0,0.0
amusement,0.75,0.89,0.82,0.64,0.95,0.76,0.6,0.94,0.73,0.67,0.95,0.79,0.0,0.0,0.0
anger,0.44,0.55,0.49,0.27,0.71,0.39,0.26,0.68,0.37,0.26,0.62,0.36,0.0,0.0,0.0
annoyance,0.35,0.38,0.37,0.15,0.75,0.25,0.15,0.71,0.24,0.15,0.77,0.25,0.0,0.0,0.0
approval,0.39,0.42,0.41,0.14,0.78,0.23,0.13,0.76,0.23,0.12,0.77,0.22,0.0,0.0,0.0
caring,0.4,0.46,0.43,0.19,0.72,0.31,0.19,0.71,0.29,0.17,0.62,0.26,0.0,0.0,0.0
confusion,0.39,0.5,0.44,0.17,0.84,0.29,0.16,0.85,0.27,0.17,0.84,0.28,0.0,0.0,0.0
curiosity,0.48,0.63,0.54,0.35,0.95,0.51,0.27,0.94,0.41,0.34,0.95,0.5,0.0,0.0,0.0
desire,0.5,0.37,0.43,0.13,0.69,0.22,0.07,0.58,0.13,0.11,0.69,0.19,0.0,0.0,0.0
disappointment,0.36,0.28,0.32,0.08,0.58,0.14,0.07,0.68,0.13,0.08,0.6,0.13,0.0,0.0,0.0
disapproval,0.38,0.43,0.4,0.15,0.88,0.25,0.14,0.83,0.23,0.16,0.81,0.26,0.0,0.0,0.0
disgust,0.49,0.42,0.45,0.15,0.78,0.25,0.12,0.69,0.21,0.14,0.78,0.24,0.0,0.0,0.0
embarrassment,0.76,0.43,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.16,0.23,0.0,0.0,0.0
excitement,0.43,0.46,0.44,0.06,0.73,0.1,0.05,0.7,0.1,0.07,0.78,0.12,0.0,0.0,0.0
fear,0.61,0.79,0.69,0.36,0.82,0.5,0.42,0.85,0.56,0.35,0.85,0.49,0.0,0.0,0.0
gratitude,0.91,0.92,0.92,0.69,0.96,0.8,0.64,0.95,0.77,0.59,0.97,0.74,0.0,0.0,0.0
grief,0.0,0.0,0.0,0.5,0.17,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,0.58,0.66,0.62,0.26,0.81,0.39,0.23,0.8,0.36,0.25,0.8,0.39,0.0,0.0,0.0
love,0.75,0.88,0.81,0.59,0.93,0.72,0.61,0.92,0.73,0.58,0.93,0.72,0.0,0.0,0.0
nervousness,0.5,0.3,0.38,0.36,0.22,0.27,0.14,0.13,0.14,0.35,0.35,0.35,0.0,0.0,0.0
optimism,0.57,0.58,0.57,0.12,0.88,0.22,0.11,0.9,0.2,0.11,0.89,0.2,0.14,0.82,0.24
pride,0.83,0.31,0.45,0.04,0.44,0.07,0.05,0.56,0.09,0.04,0.5,0.08,0.03,0.62,0.06
realization,0.25,0.18,0.21,0.05,0.72,0.09,0.05,0.66,0.09,0.05,0.73,0.09,0.05,0.74,0.09
relief,0.0,0.0,0.0,0.06,0.55,0.1,0.09,0.45,0.15,0.03,0.64,0.06,0.01,0.55,0.03
remorse,0.58,0.86,0.69,0.45,0.89,0.6,0.39,0.88,0.54,0.42,0.89,0.57,0.34,0.91,0.5
sadness,0.51,0.58,0.54,0.16,0.79,0.27,0.17,0.79,0.27,0.17,0.78,0.27,0.13,0.8,0.23
surprise,0.54,0.55,0.54,0.11,0.77,0.19,0.09,0.8,0.17,0.13,0.8,0.22,0.13,0.81,0.22
neutral,0.64,0.68,0.66,0.42,0.96,0.58,0.41,0.97,0.57,0.42,0.97,0.58,0.0,0.0,0.0
macro-average,0.5,0.51,0.5,0.25,0.72,0.33,0.21,0.7,0.3,0.24,0.73,0.33,0.03,0.19,0.05
micro-average,0.57,0.62,0.59,0.22,0.86,0.36,0.21,0.85,0.34,0.22,0.86,0.35,0.09,0.09,0.09
